Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
10 6 -9.983992 0.0 -120.809 13.3577 -155.343 387.643 -2573.84 388.118 -2620.47 0.0 388.118 -2620.47 -3.67016 -120.809 -2356.8313 -3.42669 -3.42669
10 7 -10.053677 0.0 -124.23 13.4943 -165.186 387.643 -2573.84 388.317 -2626.26 0.0 388.317 -2626.26 8.71065 -124.23 -2353.4624 -1.40641 -1.40641
11 0 -6.246369 0.0 -17.956 14.0601 -162.249 387.643 -2573.84 389.494 -2726.33 0.0 389.494 -2726.33 -1.87729 -17.956 -2356.6694 10.5629 10.5629
11 1 -6.006893 0.0 -12.7618 14.0488 -163.707 387.643 -2573.84 389.396 -2731.77 0.0 389.396 -2731.77 -1.1588 -12.7618 -2356.2947 13.9154 13.9154
11 2 -6.006893 0.0 -12.7618 14.0488 -163.707 387.643 -2573.84 389.396 -2731.77 0.0 389.396 -2731.77 -1.1588 -12.7618 -2356.2947 13.9154 13.9154
11 3 -6.006893 0.0 -12.7618 14.0488 -163.707 387.643 -2573.84 389.396 -2731.77 0.0 389.396 -2731.77 -1.1588 -12.7618 -2356.2947 13.9154 13.9154
11 4 -6.006893 0.0 -12.7618 14.0488 -163.707 387.643 -2573.84 389.396 -2731.77 0.0 389.396 -2731.77 -1.1588 -12.7618 -2356.2947 13.9154 13.9154
11 5 -6.006893 0.0 -12.7618 14.0488 -163.707 387.643 -2573.84 389.396 -2731.77 0.0 389.396 -2731.77 -1.1588 -12.7618 -2356.2947 13.9154 13.9154
11 6 -6.0725265 0.0 -14.8978 14.0256 -162.808 387.643 -2573.84 389.307 -2728.54 0.0 389.307 -2728.54 -1.45511 -14.8978 -2355.586 12.1681 12.1681
11 7 -6.0725265 0.0 -14.8978 14.0256 -162.808 387.643 -2573.84 389.307 -2728.54 0.0 389.307 -2728.54 -1.45511 -14.8978 -2355.586 12.1681 12.1681
12 0 -7.0205398 0.0 -53.4195 13.8123 -160.127 387.643 -2573.84 389.272 -2682.08 0.0 389.272 -2682.08 -8.37444 -53.4195 -2354.602 7.84602 7.84602
12 1 -6.9385986 0.0 -53.136 13.7942 -157.25 387.643 -2573.84 389.136 -2678.12 0.0 389.136 -2678.12 -9.97327 -53.136 -2352.0935 7.23495 7.23495
12 2 -6.9385986 0.0 -53.136 13.7942 -157.25 387.643 -2573.84 389.136 -2678.12 0.0 389.136 -2678.12 -9.97327 -53.136 -2352.0935 7.23495 7.23495
